SYMBOL	ENTREZID	UNIPROT	ENSEMBL
ACLY	47	P53396	ENSG00000131473
ALDOB	229	P05062	ENSG00000136872
FBP1	2203	P09467	ENSG00000165140
FBP2	8789	O00757	ENSG00000130957
G6PC2	57818	Q9NQR9	ENSG00000152254
G6PC2	57818	Q9NQR9	ENSG00000278373
G6PC3	92579	Q9BUM1	ENSG00000141349
G6PD	2539	P11413	ENSG00000160211
GCK	2645	P35557	ENSG00000106633
HK1	3098	P19367	ENSG00000156515
HK2	3099	P52789	ENSG00000159399
HK3	3101	P52790	ENSG00000160883
KHK	3795	P50053	ENSG00000138030
LDHA	3939	P00338	ENSG00000134333
LDHA	3939	P00338	ENSG00000288299
PC	5091	P11498	ENSG00000173599
PCK1	5105	P35558	ENSG00000124253
PCK2	5106	Q16822	ENSG00000285241
PCK2	5106	Q16822	ENSG00000100889
PDHA1	5160	P08559	ENSG00000131828
PDHA2	5161	P29803	ENSG00000163114
PDHB	5162	P11177	ENSG00000168291
PDK1	5163	Q15118	ENSG00000152256
PDK2	5164	Q15119	ENSG00000005882
PDK3	5165	Q15120	ENSG00000067992
PDK4	5166	Q16654	ENSG00000004799
PFKFB1	5207	P16118	ENSG00000158571
PFKFB2	5208	O60825	ENSG00000123836
PFKFB3	5209	Q16875	ENSG00000170525
PFKFB4	5210	Q16877	ENSG00000114268
PFKL	5211	P17858	ENSG00000141959
PFKM	5213	P08237	ENSG00000152556
PFKP	5214	Q01813	ENSG00000067057
PKLR	5313	P30613	ENSG00000262785
PKLR	5313	P30613	ENSG00000143627
PKM	5315	P14618	ENSG00000067225
SLC2A1	6513	P11166	ENSG00000117394
SLC2A2	6514	P11168	ENSG00000163581
SLC2A3	6515	P11169	ENSG00000059804
SLC2A4	6517	P14672	ENSG00000181856
SLC2A4	6517	P14672	ENSG00000288174
SLC2A5	6518	P22732	ENSG00000142583
TKT	7086	P29401	ENSG00000163931
